Site	Treatment	ACI	ADI	BI	H	NDSI 
EWF	Dark_1	1650.667598	2.302519	0.110762406	0.983961548	0.708313116
EWF	Dark_1	1655.108389	2.302585	0.129508032	0.984002453	0.71741198
EWF	Dark_1	1655.918515	2.302584	0.139440083	0.98404668	0.712063461
EWF	Dark_1	1653.818467	2.302138	0.125245405	0.983701148	0.727361517
EWF	Dark_1	1652.765425	2.302585	0.118140755	0.984130599	0.70503618
EWF	Dark_1	1652.781309	2.30258	0.099424361	0.983905943	0.722685941
EWF	Dark_1	1654.554837	2.302583	0.09492121	0.984074166	0.72269727
EWF	Dark_1	1658.485844	2.302536	0.139555003	0.983816828	0.735467839
EWF	Dark_1	1655.848736	2.302585	0.125873845	0.984142528	0.730065283
EWF	Dark_1	1651.730567	2.302581	0.097394112	0.9835051	0.720654926
EWF	Dark_1	1656.129902	2.302584	0.08911232	0.984015979	0.720444109
EWF	Dark_1	1651.728885	2.302585	0.098682062	0.984224073	0.719450653
EWF	Dark_1	1652.001382	2.302585	0.100022323	0.984157251	0.722353726
EWF	Dark_1	1652.689034	2.302585	0.09984251	0.984149669	0.723990528
EWF	Dark_1	1657.412002	2.302585	0.142457003	0.984114627	0.734758262
EWF	Dark_1	1655.664506	2.302585	0.111161129	0.984166636	0.727778377
EWF	Dark_1	1658.553663	2.302585	0.15848361	0.984043331	0.742119552
EWF	Dark_1	1661.601028	2.302585	0.173587139	0.983535949	0.745184044
EWF	Dark_1	1663.254645	2.302585	0.177214909	0.983962671	0.749506259
EWF	Dark_1	1659.251232	2.302585	0.129765482	0.984057561	0.739753061
EWF	Dark_1	1661.998921	2.302585	0.167655876	0.983994673	0.749079147
EWF	Dark_1	1661.260695	2.302582	0.156726603	0.983978452	0.740014581
EWF	Dark_1	1658.395874	2.302584	0.141769299	0.984113288	0.739648749
EWF	Dark_1	1656.018462	2.302584	0.123101934	0.984021664	0.735809968
EWF	Dark_1	1656.844718	2.302583	0.144802088	0.984075582	0.732183052
EWF	Dark_1	1655.457173	2.302585	0.107411686	0.984199881	0.727090583
EWF	Dark_1	1653.218224	2.302585	0.098206962	0.98419155	0.722439662
EWF	Dark_1	1653.27409	2.302585	0.093195142	0.984178099	0.723166448
EWF	Dark_1	1658.620936	2.302462	0.141265571	0.983994026	0.733676534
EWF	Dark_1	1651.962562	2.302585	0.103579763	0.98419629	0.725118049
EWF	Dark_1	1653.50187	2.302585	0.104185182	0.984200214	0.719052762
EWF	Dark_1	1653.547513	2.302577	0.098603981	0.984065476	0.718910932
EWF	Dark_1	1651.253607	2.30258	0.083054621	0.984082147	0.719508977
EWF	Dark_1	1652.634811	2.302585	0.124188712	0.984206197	0.728079724
EWF	Dark_1	1653.418448	2.302585	0.095439694	0.984230051	0.721378025
