filename,Site ,Treatment ,MEANf,VARf,SKEWf,KURTf,NBPEAKS,LEQf,ENRf,BGNf,SNRf,Hf,EAS,ECU,ECV,EPS,EPS_KURT,EPS_SKEW,ACI,NDSI,rBA,AnthroEnergy,BioEnergy,BI,ROU,ADI,AEI,LFC,MFC,HFC,ACTspFract,ACTspCount,ACTspMean,EVNspFract,EVNspMean,EVNspCount,TFSD,H_Havrda,H_Renyi,H_pairedShannon,H_gamma,H_GiniSimpson,RAOQ,AGI,nROI,aROI,ZCR,MEANt,VARt,SKEWt,KURTt,LEQt,BGNt,SNRt,MED,Ht,ACTtFraction,ACTtCount,ACTtMean,EVNtFraction,EVNtMean,EVNtCount
Old Sneed Park_20240826_210800.WAV,Old Sneed Park ,Pre-light treatment,0.000267488,1.15E-08,2.63681012,13.57158797,3,43.26424913,-43.71515096,-45.68746755,1.972316588,0.946353891,0.004189039,0.540611322,0.341048722,0.015950075,109.2675511,9.524460126,297.2602339,0.030751297,1.063453884,0.060154217,0.063971236,0.828461752,0.555846577,2.302422792,0.009206655,0.146033362,0.128730502,0.127971489,0.129724361,1337.587891,5.821972942,0.002117353,0.022015619,0.092422974,0.630772854,0.333318114,4.997167871,6.90148878,72232.95914,0.995667342,0.851464298,1.208306619,39.2784405,0.12092668,41771.50909,2.35E-19,4.26E-05,0.068964654,3.676361721,43.29739036,-34.02589406,0.336218768,0.01989323,0.992551448,0.021140419,218,5.11361963,0.004169899,0.017641026,0.236398022
Old Sneed Park_20240826_210900.WAV,Old Sneed Park ,Pre-light treatment,0.000270818,1.23E-08,2.483436062,11.54445958,4,43.3979569,-43.58144319,-45.71048099,2.129037796,0.944671183,0.019043534,0.599297508,0.471934082,0.020662109,112.4409544,9.812609981,298.1987123,0.106940404,1.2394922,0.061691406,0.076466016,0.880460828,0.609864146,2.284210423,0.096469828,0.141014451,0.130589192,0.128333138,0.130301529,1343.539063,6.339678674,0.002271732,0.022030269,0.098745529,0.631272829,0.333319662,5.050813762,6.891004161,71652.63401,0.99569108,0.858950016,1.214517225,44.73377946,0.1521244,41761.27273,3.90E-19,4.38E-05,0.024500686,20.00177328,43.41502812,-34.04930157,0.521222832,0.019839692,0.977619408,0.022595035,233,6.982396477,0.003200155,0.019555556,0.163660169
Old Sneed Park_20240826_211000.WAV,Old Sneed Park ,Pre-light treatment,0.000277761,1.15E-08,1.568483908,5.297156579,9,43.54786472,-43.43153537,-45.72092561,2.289390247,0.953481509,0.005407128,0.160023133,0.144688199,0.019877967,115.5887367,9.947356824,298.6162944,0.268534299,1.734236201,0.041415312,0.071823933,0.853673419,0.683866926,2.300991216,0.028374133,0.14015776,0.129623353,0.128522574,0.130383359,1344.382813,6.800813546,0.002102957,0.022089335,0.092174334,0.626855961,0.333326667,5.409884121,6.946370809,72909.33914,0.996493962,0.783573056,1.21578736,44.73377946,0.126192598,42097.49091,-1.32E-20,4.65E-05,-0.525392381,1079.119809,43.67327594,-34.10606113,1.243486071,0.019710468,0.856858961,0.015224981,157,13.08644369,0.001648565,0.018133333,0.090922316
Old Sneed Park_20240826_211100.WAV,Old Sneed Park ,Pre-light treatment,0.000270751,1.01E-08,1.812292727,6.800989396,6,43.28432021,-43.69507988,-45.70816198,2.013082096,0.95577297,0.023188016,0.515872166,0.481852819,0.02265085,109.7826781,9.703789026,297.9693388,0.350735298,2.080407719,0.040601086,0.084466812,0.900602322,0.591349264,2.30151149,0.023208778,0.140747745,0.130646182,0.127795649,0.130120442,1341.671875,6.528964798,0.002193501,0.021909823,0.096259131,0.630999506,0.333326183,5.374897667,6.960663763,73892.03242,0.996490601,0.831353797,1.214410714,43.64271167,0.151650846,41904.74545,-3.41E-19,4.27E-05,0.02060619,36.14335255,43.30750424,-34.06574794,0.530077925,0.019802162,0.974299669,0.028122576,290,6.373998784,0.003200155,0.016,0.200029095
Old Sneed Park_20240826_211200.WAV,Old Sneed Park ,Pre-light treatment,0.00026676,1.14E-08,2.956230247,18.84608126,3,43.24080754,-43.73859255,-45.71544955,1.976857006,0.945574352,0.006140136,0.576437389,0.55817234,0.012208102,101.0345435,9.002088045,297.2004888,0.054328324,1.114898913,0.058504497,0.0652266,0.831282814,0.536505877,2.286453608,0.089646041,0.140351728,0.128688509,0.127924356,0.129920223,1339.607422,5.855024235,0.001928121,0.021968408,0.085603139,0.626936808,0.333310753,4.799917127,6.896463718,72257.4655,0.995350796,0.84862677,1.207822833,20.73028804,0.083781126,41994.49091,-3.76E-19,4.25E-05,0.181522814,13.88934008,43.28362166,-34.09266622,0.380750754,0.019740888,0.988424263,0.019782777,204,5.635697044,0.002036462,0.018666667,0.109106779
Old Sneed Park_20240826_211300.WAV,Old Sneed Park ,Pre-light treatment,0.000264281,1.05E-08,2.318522533,10.25660374,3,43.1201563,-43.85924379,-45.73133136,1.872087569,0.950478416,6.16E-05,0.222121079,0.214682965,0.005058286,19.02226457,2.782871012,296.6758461,0.025517182,1.052370717,0.054995871,0.057876044,0.671800449,0.543528854,2.291090346,0.074640366,0.139131348,0.127000791,0.127107698,0.129289639,1333.105469,5.628895506,0.001665583,0.022173829,0.073384267,0.630133628,0.333322598,5.171692749,6.92741785,73020.90635,0.996060692,0.839063961,1.204613218,4.364271167,0.026026513,42252.21818,8.20E-20,4.11E-05,0.047743286,12.24108256,43.14196593,-34.13315091,0.302256933,0.019649091,0.989714268,0.010473235,108,6.354609707,0.00087277,0.016,0.05455339
Old Sneed Park_20240826_211400.WAV,Old Sneed Park ,Pre-light treatment,0.000265407,9.68E-09,1.895460782,7.28718816,3,43.10975833,-43.86964176,-45.70993187,1.840290113,0.955582819,0.007353972,0.673672428,0.497759574,0.016343869,80.13811873,8.14394104,296.93438,0.205220145,1.516420097,0.043708427,0.066280336,0.834821092,0.528851003,2.302577071,0.002121792,0.139923383,0.12958036,0.12817452,0.129641963,1336.738281,5.785369403,0.002074355,0.022055122,0.090895615,0.631331438,0.333325797,5.348559723,6.959459835,73952.16885,0.99645558,0.828238012,1.208252618,22.91242363,0.108538515,41985.92727,1.90E-19,4.12E-05,0.05553222,3.102824531,43.14677519,-34.07912533,0.287029349,0.019771687,0.99511429,0.018813033,194,4.17716685,0.00087277,0.016,0.05455339
Old Sneed Park_20240826_211500.WAV,Old Sneed Park ,Pre-light treatment,0.000269453,1.31E-08,3.128988824,19.68393115,3,43.40103561,-43.57836448,-45.71023321,2.131868732,0.938765025,0.019303292,0.600050006,0.522615712,0.026389122,117.5657204,10.13886369,297.4164305,0.06622724,1.141848731,0.065029941,0.074254356,0.923290847,0.557003157,2.284003929,0.096628685,0.141911551,0.13083715,0.128411088,0.13039283,1344.480469,6.16838346,0.002305638,0.021824011,0.100237368,0.628296248,0.333305222,4.690357313,6.853731186,70784.06094,0.994848947,0.86135064,1.212855563,40.36950829,0.141819871,41618.74545,4.64E-19,4.41E-05,0.23226409,16.56862995,43.44151278,-34.04908203,0.444291665,0.019840193,0.986664967,0.026570985,274,5.513498211,0.002327386,0.021333333,0.109106779
Old Sneed Park_20240826_211600.WAV,Old Sneed Park ,Pre-light treatment,0.000274898,1.88E-08,4.531052321,34.96951052,3,43.82095178,-43.15844831,-45.69187546,2.53342715,0.911371232,0.142778747,0.742242517,0.618778152,0.035042322,121.5369345,10.37237406,298.2355664,0.521175744,3.176897837,0.043567511,0.138409531,1.283057781,0.63374979,2.302443545,0.008605206,0.141903469,0.133630684,0.128347641,0.130656883,1347.203125,7.834626732,0.002876176,0.021985023,0.122153192,0.631456163,0.333240313,4.092039733,6.681060136,66260.29467,0.991356217,0.859676706,1.226099417,80.73901658,0.247592832,41140.92727,2.96E-20,4.83E-05,0.079587346,5.313881077,43.84393888,-34.01239534,0.815257601,0.01992417,0.982614507,0.05731187,591,6.176292051,0.026764934,0.016539326,1.618417224
Old Sneed Park_20240826_211700.WAV,Old Sneed Park ,Pre-light treatment,0.000274887,1.76E-08,3.792372187,24.92108583,6,43.7643868,-43.21501329,-45.7264086,2.51139531,0.919540059,0.12043712,0.733116089,0.599927274,0.026375378,75.69212189,8.27088717,298.0865709,0.42201889,2.460320701,0.051504872,0.126718503,1.245371793,0.626579969,2.293034078,0.070299096,0.13726441,0.134830483,0.128534357,0.131157335,1352.363281,7.685036908,0.003007824,0.022253925,0.127729828,0.633271536,0.333279987,4.370044478,6.732862268,67179.12115,0.992999993,0.864625486,1.224674507,73.10154204,0.267709394,41352.34545,-2.31E-19,4.77E-05,0.039468822,12.87694469,43.78065681,-34.06576887,0.807220262,0.019802114,0.97871645,0.051105508,527,6.431615832,0.025019395,0.017641026,1.418388129
