"","Site","Variable","KW_statistic","KW_p_value","Significant","Group1","Group2","Z","P.adj","Direction"
"1","Eastwood Farm","KURTf",27.1923353019042,1.24525821125651e-06,"Yes","light treatment","post-light treatment",5.16435055336731,7.23825461671535e-07,"light treatment > post-light treatment"
"2","Eastwood Farm","KURTf",27.1923353019042,1.24525821125651e-06,"Yes","light treatment","pre-light treatment",1.99043283723512,0.139629826893144,"light treatment > pre-light treatment"
"3","Eastwood Farm","KURTf",27.1923353019042,1.24525821125651e-06,"Yes","post-light treatment","pre-light treatment",-3.14979037658575,0.00490162948945691,"pre-light treatment > post-light treatment"
"4","Eastwood Farm","NBPEAKS",34.4771086359372,3.26130175160501e-08,"Yes","light treatment","post-light treatment",-5.86435804299484,1.35262091725534e-08,"post-light treatment > light treatment"
"5","Eastwood Farm","NBPEAKS",34.4771086359372,3.26130175160501e-08,"Yes","light treatment","pre-light treatment",-2.7141807152913,0.019931973406084,"pre-light treatment > light treatment"
"6","Eastwood Farm","NBPEAKS",34.4771086359372,3.26130175160501e-08,"Yes","post-light treatment","pre-light treatment",3.11727696629309,0.00547590002779893,"post-light treatment > pre-light treatment"
"7","Eastwood Farm","EAS",44.9149059837763,1.76543644608526e-10,"Yes","light treatment","post-light treatment",-6.14982804244228,2.32700991817098e-09,"post-light treatment > light treatment"
"8","Eastwood Farm","EAS",44.9149059837763,1.76543644608526e-10,"Yes","light treatment","pre-light treatment",-5.40949668924765,1.89606357506167e-07,"pre-light treatment > light treatment"
"9","Eastwood Farm","EAS",44.9149059837763,1.76543644608526e-10,"Yes","post-light treatment","pre-light treatment",0.674759302254109,1,"pre-light treatment > post-light treatment"
"10","Eastwood Farm","ECU",38.7018073515935,3.94465761588893e-09,"Yes","light treatment","post-light treatment",-4.7001420673631,7.79941687025806e-06,"post-light treatment > light treatment"
"11","Eastwood Farm","ECU",38.7018073515935,3.94465761588893e-09,"Yes","light treatment","pre-light treatment",-5.8937491803845,1.132590261084e-08,"pre-light treatment > light treatment"
"12","Eastwood Farm","ECU",38.7018073515935,3.94465761588893e-09,"Yes","post-light treatment","pre-light treatment",-1.26504910544465,0.617561176420854,"pre-light treatment > post-light treatment"
